INFO [2019-09-25 12:31:03] Chain: 3, Iteration: 5
INFO [2019-09-25 12:31:04] Chain: 2, Iteration: 5
INFO [2019-09-25 12:31:04] Chain: 5, Iteration: 5
INFO [2019-09-25 12:31:04] Chain: 1, Iteration: 5
INFO [2019-09-25 12:31:04] Chain: 4, Iteration: 5
INFO [2019-09-25 12:31:06] Chain: 3, Iteration: 10
INFO [2019-09-25 12:31:07] Chain: 2, Iteration: 10
INFO [2019-09-25 12:31:07] Chain: 5, Iteration: 10
INFO [2019-09-25 12:31:07] Chain: 1, Iteration: 10
INFO [2019-09-25 12:31:07] Chain: 4, Iteration: 10
INFO [2019-09-25 12:31:10] Chain: 3, Iteration: 15
INFO [2019-09-25 12:31:11] Chain: 2, Iteration: 15
INFO [2019-09-25 12:31:11] Chain: 5, Iteration: 15
INFO [2019-09-25 12:31:11] Chain: 1, Iteration: 15
INFO [2019-09-25 12:31:11] Chain: 4, Iteration: 15
INFO [2019-09-25 12:31:13] Chain: 3, Iteration: 20
INFO [2019-09-25 12:31:14] Chain: 2, Iteration: 20
INFO [2019-09-25 12:31:14] Chain: 5, Iteration: 20
INFO [2019-09-25 12:31:14] Chain: 1, Iteration: 20
INFO [2019-09-25 12:31:14] Chain: 4, Iteration: 20
INFO [2019-09-25 12:31:17] Chain: 3, Iteration: 25
INFO [2019-09-25 12:31:18] Chain: 2, Iteration: 25
INFO [2019-09-25 12:31:18] Chain: 5, Iteration: 25
INFO [2019-09-25 12:31:18] Chain: 4, Iteration: 25
INFO [2019-09-25 12:31:18] Chain: 1, Iteration: 25
INFO [2019-09-25 12:31:20] Chain: 3, Iteration: 30
INFO [2019-09-25 12:31:21] Chain: 2, Iteration: 30
INFO [2019-09-25 12:31:21] Chain: 5, Iteration: 30
INFO [2019-09-25 12:31:21] Chain: 4, Iteration: 30
INFO [2019-09-25 12:31:22] Chain: 1, Iteration: 30
INFO [2019-09-25 12:31:23] Chain: 3, Iteration: 35
INFO [2019-09-25 12:31:24] Chain: 2, Iteration: 35
INFO [2019-09-25 12:31:25] Chain: 5, Iteration: 35
INFO [2019-09-25 12:31:25] Chain: 4, Iteration: 35
INFO [2019-09-25 12:31:25] Chain: 1, Iteration: 35
INFO [2019-09-25 12:31:27] Chain: 3, Iteration: 40
INFO [2019-09-25 12:31:28] Chain: 2, Iteration: 40
INFO [2019-09-25 12:31:28] Chain: 5, Iteration: 40
INFO [2019-09-25 12:31:28] Chain: 4, Iteration: 40
INFO [2019-09-25 12:31:28] Chain: 1, Iteration: 40
INFO [2019-09-25 12:31:30] Chain: 3, Iteration: 45
INFO [2019-09-25 12:31:32] Chain: 5, Iteration: 45
INFO [2019-09-25 12:31:32] Chain: 2, Iteration: 45
INFO [2019-09-25 12:31:32] Chain: 4, Iteration: 45
INFO [2019-09-25 12:31:32] Chain: 1, Iteration: 45
INFO [2019-09-25 12:31:34] Chain: 3, Iteration: 50
INFO [2019-09-25 12:31:35] Chain: 5, Iteration: 50
INFO [2019-09-25 12:31:35] Chain: 2, Iteration: 50
INFO [2019-09-25 12:31:35] Chain: 4, Iteration: 50
INFO [2019-09-25 12:31:36] Chain: 1, Iteration: 50
INFO [2019-09-25 12:31:37] Chain: 3, Iteration: 55
INFO [2019-09-25 12:31:39] Chain: 5, Iteration: 55
INFO [2019-09-25 12:31:39] Chain: 4, Iteration: 55
INFO [2019-09-25 12:31:39] Chain: 2, Iteration: 55
INFO [2019-09-25 12:31:39] Chain: 1, Iteration: 55
INFO [2019-09-25 12:31:41] Chain: 3, Iteration: 60
INFO [2019-09-25 12:31:42] Chain: 5, Iteration: 60
INFO [2019-09-25 12:31:42] Chain: 2, Iteration: 60
INFO [2019-09-25 12:31:42] Chain: 4, Iteration: 60
INFO [2019-09-25 12:31:42] Chain: 1, Iteration: 60
INFO [2019-09-25 12:31:44] Chain: 3, Iteration: 65
INFO [2019-09-25 12:31:45] Chain: 5, Iteration: 65
INFO [2019-09-25 12:31:45] Chain: 2, Iteration: 65
INFO [2019-09-25 12:31:46] Chain: 4, Iteration: 65
INFO [2019-09-25 12:31:46] Chain: 1, Iteration: 65
INFO [2019-09-25 12:31:48] Chain: 3, Iteration: 70
INFO [2019-09-25 12:31:49] Chain: 5, Iteration: 70
INFO [2019-09-25 12:31:49] Chain: 2, Iteration: 70
INFO [2019-09-25 12:31:49] Chain: 4, Iteration: 70
INFO [2019-09-25 12:31:50] Chain: 1, Iteration: 70
